,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,region
107,Malta,0.85299999,MLT,5,24094.641,0.42500001192092896,4.0,5.026020526885986,7.848999977111816,88.06436157226562,WesternDem
67,Greece,0.86500001,GRC,5,25295.27,10.927000045776369,3.7999999523162837,2.999258995056152,,95.0673828125,WesternDem
155,Singapore,0.92400002,SGP,7,54268.148,5.46999979019165,3.2999999523162837,5.797279357910156,2.91579008102417,,SouthEastAsia
1,Albania,0.76200002,ALB,1,8516.7002,,7.0999999046325675,4.111338615417481,3.539439916610718,85.27821350097656,EastEurope
138,Portugal,0.84100002,PRT,5,23744.631,10.40100002288818,2.200000047683716,4.273322582244873,5.125589847564697,93.03502655029295,WesternDem
131,Pakistan (1971-),0.54799998,PAK,8,2855.55,186.19000244140634,7.0,3.3811123371124268,2.464349985122681,41.17535018920898,SouthAsia
183,Egypt,0.68800002,EGY,3,5598.2598,86.69999694824219,4.699999809265137,2.187044858932495,,81.85820770263672,NorthAfrica
134,Paraguay,0.69199997,PRY,2,4812.9199,6.559000015258789,5.199999809265137,2.3244397640228267,4.955399990081787,66.45951843261719,LatAm
109,Mauritius,0.77899998,MUS,4,10944.54,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469,SubSaharian
93,Laos,0.58200002,LAO,7,2926.77,6.8979997634887695,7.4000000953674325,3.834710359573364,3.320110082626343,50.828941345214844,SouthEastAsia
46,Czech Republic,0.875,CZE,1,23847.08,10.51200008392334,2.799999952316284,3.578998565673828,4.089019775390625,,EastEurope
123,New Zealand,0.91299999,NZL,5,26481.369,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019531,WesternDem
14,Barbados,0.79400003,BRB,10,22888.971,0.2790000140666962,5.400000095367432,5.0402259826660165,6.573299884796143,99.42874908447266,Caribbean
31,Cape Verde,0.64600003,CPV,4,3972.6101,0.5120000243186951,8.600000381469728,3.891948699951172,4.99245023727417,69.1138687133789,SubSaharian
23,Brunei,0.86400002,BRN,7,46103.84,0.4120000004768372,4.599999904632568,4.417221069335938,3.353189945220947,87.03231811523438,SouthEastAsia
13,Armenia,0.741,ARM,1,6451.9399,2.9800000190734863,6.0,3.4553134441375732,2.246599912643433,,EastEurope
141,Qatar,0.85500002,QAT,3,104049.44,2.045000076293945,3.0999999046325684,5.8205223083496085,3.6071898937225337,72.4646224975586,NorthAfrica
